stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
1010102,H2007,Ritarihuone,Mariankatu,60.169460,24.956670
1010103,H2008,Kirkkokatu,Mariankatu 13,60.171270,24.956570
1010104,H2009,Kirkkokatu,Mariankatu 12,60.171050,24.956750
1010105,H2010,Vironkatu,Mariankatu 17,60.172580,24.956554
1010106,H2011,Vironkatu,Mariankatu 20,60.172990,24.956380
1010107,H2014,Meritullinkatu,Liisankatu 8,60.174180,24.956880
1010108,H2013,Meritullinkatu,Liisankatu 11,60.174297,24.956514
1010110,H2015,Liisanpuistikko,Liisankatu 1,60.174330,24.960230
1010120,H2006,Senaatintori,Snellmaninkatu 1,60.169560,24.953540
1010127,H2017,Pohjoisranta,Kirkkokatu 1,60.171030,24.958950
1010180,H2005,Kauppatori,Pohjoisesplanadi,60.168000,24.954030
1010419,H0450,Hallituskatu,Snellmaninkatu 4,60.170140,24.953501
1010425,H0407,Ritarihuone,Aleksanterinkatu 10,60.169120,24.955560
1010451,H0448,Senaatintori,Aleksanterinkatu,60.169060,24.951460
1020113,H2041,Rautatientori,Rautatientori,60.170720,24.943240
1020124,H2056,Kaivokatu,Kaivokatu,60.170187,24.939029
1020140,H2055,Kaivokatu,Kaivokatu 12,60.170220,24.939430
1020142,H2001,Keskuskatu,Pohjoisesplanadi 37,60.167770,24.944640
1020171,H2038,Postitalo,Postikatu,60.170863,24.938568
1020174,H1903,Lasipalatsi,Mannerheimintie 9,60.170330,24.938070
1020179,H ,Kauppatori,Pohjoisesplanadi,60.167870,24.950400
1020181,H2003,Esplanadi,Pohjoisesplanadi 27,60.167880,24.948980
1020182,H2042,Rautatientori,Rautatientori,60.170980,24.942700
1020201,H ,Rautatientori,Vilhonkatu,60.171920,24.943760
1020217,H2045,Rautatientori,Laituri 5,60.171330,24.942770
1020456,H ,Rautatientori,Mikonkatu,60.171177,24.944893
1020458,H0304,Kaisaniemenkatu,Kaisaniemenkatu,60.171650,24.947510
1020601,H0014,Rautatientori,Rautatientori,60.170360,24.941140
1020602,H0014,Rautatientori,Rautatientori,60.170360,24.941140
1020603,H0015,Helsingin yliopisto,Metro,60.171671,24.947286
1020604,H0015,Helsingin yliopisto,Kaisaniemi,60.171671,24.947286
1030101,H2000,Erottaja,Eteläesplanadi,60.166880,24.944300
1030103,H2002,Esplanadi,Eteläesplanadi 12,60.167150,24.948400
1030105,H2004,Kauppatori,Eteläesplanadi,60.167300,24.951640
1030119,H1197,Kolmikulma,Erottajankatu 5,60.165220,24.944050
1030130,H1002,Erottaja,Skillnaden,60.166853,24.943094
1030423,H0429,Kauppatori,Eteläesplanadi,60.167430,24.951680
1030429,H0704,Kolmikulma,Erottajankatu,60.165050,24.943900
1030701,H0099,Kauppatori,Kauppatori,60.167248,24.955786
1040102,H1005,Fredrikinkatu,Bulevardi 13,60.164200,24.936510
1040103,H1004,Vanha kirkkopuisto,Bulevardi 10,60.165840,24.941380
1040104,H1003,Vanha kirkkopuisto,Bulevardi,60.165870,24.941250
1040117,H0231,Simonkatu,Simonkatu 9,60.168750,24.935300
1040119,H1262,Lapinrinne,Lapinlahdenkatu,60.166850,24.927820
1040120,H1261,Lapinrinne,Lapinlahdenkatu 19,60.167050,24.926770
1040123,H1211,Bulevardi,Fredrikinkatu 39,60.164940,24.936220
1040124,H1210,Bulevardi,Albertinkatu,60.163645,24.934098
1040125,H1213,Kampintori,Fredrikinkatu 55,60.167250,24.932740
1040126,H1212,Lapinlahden puist.,Albertinkatu 42,60.165618,24.931375
1040127,H1217,Kampintori,Urho Kekkosen Katu,60.168400,24.931780
1040129,H1272,Arkadian puisto,Arkadiankatu 4-6,60.171120,24.933380
1040130,H1224,Fredrikinkatu,Etel. Rautatiekatu,60.170160,24.929950
1040136,H0805,Aleksant. teatteri,Bulevardi 30,60.164290,24.936350
1040153,H1169,Hietalahdentori,Hietalahdenranta,60.161960,24.929060
1040155,H1167,Hietalahti,Hietalahdenranta,60.161920,24.923660
1040157,H1168,Hietalahti,Hietalahdenranta,60.161100,24.924550
1040162,H1218,Ruoholahdenkatu,Ruoholahdenkatu,60.165329,24.926827
1040196,H1216,Kampintori,Urho Kekkosen katu,60.168381,24.932380
1040199,H1240,Kampintori,Malminrinne,60.167888,24.931342
1040200,H1240,Kampintori,Malminrinne,60.167926,24.931037
1040231,H1232,Lapinrinne,Lapinrinne 2,60.166220,24.926730
1040233,H1234,Lapinrinne,Lapinrinne,60.165890,24.926630
1040234,H1233,Lapinrinne,Lapinrinne,60.166270,24.926990
1040244,H ,Kamppi tulo,Runeberginkatu,60.168300,24.929550
1040249,H1237,Kamppi,Runeberginkatu 3,60.168669,24.928770
