0034_1,Vantaankoski
0034_2,Kaivoksela
0044K_1,Kivistö
0044K_2,Myyrmäki
0044_1,Kivistö
0044_2,Myyrmäki
0063N_1,Ilola
0063N_2,Tikkurila
0063_1,Ilola
0063_2,Tikkurila
0064_1,Kylmäoja
0064_2,Tikkurila
0069K_1,Tikkurila
0069K_2,Sotungin koulu
0069_1,Tikkurila
0069_2,Sotunki
0075_1,Leppäkorpi
0075_2,Nikinmäki
0077_1,Kylmäoja
0077_2,Päiväkumpu
0087_1,Kulomäki
0087_2,Mellunmäki
0873_2,Päiväkumpu
1001 3_1,Käpylä
1001 3_2,Sturenkatu
1001 4_1,Urheilutalo
1001 4_2,Kauppatori
1001A3_1,Käpylä
1001A3_2,Sturenkatu
1001A4_1,Urheilutalo
1001A4_2,Eira
1001A8_1,Käpylä
1001A8_2,Eira
1001A_1,Käpylä
1001A_2,Eira
1001_1,Käpylä
1001_2,Kauppatori
1002 3_1,Nordenskiöldinkatu
1002 3_2,Töölön halli
1002 4_1,Kauppatori
1002 4_2,Olympiaterminaali
1002 5_1,Ooppera
1002 5_2,Olympiaterminaali
1002 6_1,Ooppera
1002 6_2,Olympiaterminaali
1002_1,Nordenskiöldinkatu
1002_2,Olympiaterminaali
1003 3_1,Urheilutalo
1003 3_2,Olympiaterminaali
1003 4_1,Nordenskiöldinkatu
1003 4_2,Urheilutalo
1003 6_1,Urheilutalo
1003 6_2,Olympiaterminaali
1003_1,Nordenskiöldinkatu
1003_2,Olympiaterminaali
1004 3_1,Munkkiniemi
1004 3_2,Töölö
1004 4_1,Ooppera
1004 4_2,Katajanokka
1004_1,Munkkiniemi
1004_2,Katajanokka
1005_1,Rautatieasema
1005_2,Katajanokan termin.
1006 3_1,Arabia
1006 3_2,Vallila
1006 4_1,Vallila
1006 4_2,Hietalahti
1006T4_1,Vallila
1006T4_2,Länsiterminaali
1006T_1,Arabia
1006T_2,Länsiterminaali
1006_1,Arabia
1006_2,Hietalahti
1007A3_2,Sturenkatu
1007A4_2,Senaatintori
1007A6_1,Kuusitie
1007A6_1,Pasila
1007A8_2,Sörnäinen
1007A_1,Kuusitie
1007A_1,Pasila
1007A_2,Senaatintori
1007B3_1,Sörnäinen
1007B4_1,Pasila
1007B5_2,Töölö
1007B6_2,Senaatintori
1007B7_1,Pasila
1007B_1,Pasila
1007B_1,Pasilan asema
1007B_2,Senaatintori
1007X3_1,Pasila
1007X3_2,Töölö
1007X_1,Pasila
1007X_2,Sörnäinen
1008 3_1,Arabia
1008 3_2,Vallila
1008 4_1,Vallila
1008 4_2,Jätkäsaari
1008_1,Arabia
1008_2,Jätkäsaari
1009 3_1,Kallio
1009 3_2,Länsiterminaali
1009 4_1,Kallio
1009 4_2,Länsiterminaali
1009_1,Pasila
1009_2,Länsiterminaali
1010 3_1,Pikku Huopalahti
1010 3_2,Töölö
1010 4_1,Ooppera
1010 4_2,Kirurgi
1010X_1,Ooppera
1010X_2,Kirurgi
1010_1,Pikku Huopalahti
1010_2,Kirurgi
1014X_1,Kamppi
1014X_2,Hernesaari
1014_1,Pajamäki
1014_2,Hernesaari
1015A_1,Kaapelitehdas
1015A_2,Olympiaterminaali
1015T_1,Kaapelitehdas
1015T_2,Länsiterminaali
1015_1,Salmisaari
1015_2,Ruoholahti
1016_1,Korkeasaari
1016_2,Rautatientori
1017_1,Viiskulma
1017_2,Kruununhaka
1018B_1,Kamppi
1018B_2,Eira
1018N_1,Munkkivuori
1018N_2,Eira
1018V_1,Meilahden klinikat
1018V_2,Eira
1018_1,Munkkivuori
1018_2,Eira
1019E_1,Suomenlinna, huoltol
1019E_2,Katajanokka
1019_1,Suomenlinna, päälait
1019_2,Kauppatori
1020N_1,Lauttasaari
1020N_2,Asema-aukio
1020X_1,Katajaharju
1020X_2,Kamppi
1020_1,Katajaharju
1020_2,Ruoholahti
1021BX_1,Vattuniemi
1021BX_2,Kamppi
1021B_1,Vattuniemi
1021B_2,Lauttasaari (M)
1021VX_1,Lauttasaari(Vattun.)
1021VX_2,Kamppi
1021_1,Vattuniemi
1021_2,Erottaja
1023N_1,Ilmala
1023N_2,Rautatientori
1023_1,Ruskeasuo
1023_2,Rautatientori
1024 3_1,Seurasaari
1024 3_2,Merikatu
1024 4_1,Seurasaari
1024S3_1,Seurasaari
1024S_1,Seurasaari
1024S_2,Erottaja
1024X3_1,Hietaniemi
1024X3_2,Asema-aukio
1024X_1,Hietaniemi
1024X_2,Erottaja
1024_1,Seurasaari
1024_2,Merikatu
1026_1,Kalasatama
1026_2,Hakaniemi
1030_1,Töölön tulli
1031_1,Munkkivuori
1031_2,Pohjois-Haaga
1032_1,Munkkivuori
1032_2,Pohjois-Haaga
1033_1,Tarvo
1033_2,Munkkivuori
1034_1,Kaskisaari
1034_2,Munkkivuori
1035_1,Niemenmäki
1035_2,Rakuunantie
1036B_1,Kannelmäki
1036B_2,Konala
1036_1,Pirkkola
1036_2,Konala
1037B_1,Malminkartano
1037B_2,Kamppi
1037_1,Malminkartano
1037_1,Myyrmäki
1037_2,Kamppi
1039B_1,Konala
1039B_2,Kamppi
1039N_1,Malminkartano
1039N_1,Myyrmäki
1039N_2,Asema-aukio
1039_1,Myyrmäki
1039_2,Kamppi
1040_1,Pohjois-Haagan asema
1040_2,Elielinaukio
1041_1,Kannelmäki
1041_2,Kamppi
1042_1,Kannelmäki
1042_2,Kamppi
1043_1,Hakuninmaa
1043_2,Elielinaukio
1050B_2,Herttoniemi(M)
1050_1,Suursuo
1050_2,Herttoniemi(M)
1051_1,Malminkartano
1051_2,Hakaniemi
1052_1,Munkkiniemi
1052_2,Arabia
1052_2,Vanhakaupunki
1054_1,Pitäjänmäki
1054_2,Itäkeskus(M)
1055_1,Koskela
1055_2,Rautatientori
1056_1,Kannelmäki
1056_2,Kalasatama
1057_1,Munkkiniemi
1057_2,Kontula(M)
1058B_1,Meilahti
1058B_2,Itäkeskus(M)
1058X_2,Itäkeskus (M)
1058_1,Munkkivuori
1058_2,Itäkeskus(M)
1059_1,Pajamäki
1059_2,Herttoniemi(M)
1063_1,Paloheinä
1063_2,Kamppi
1064_1,Itä-Pakila
1064_2,Rautatientori
1065_1,Veräjälaakso
1065_2,Rautatientori
1066K_1,Paloheinä
1066K_2,Rautatientori
1066_1,Paloheinä
1066_2,Rautatientori
1067N_1,Torpparinmäki
1067N_2,Rautatientori
1067V_1,Torpparinmäki
1067V_2,Rautatientori
